"point_4326";"point_4326";"posicao"
"POINT(-43.259969 -22.926632)";"POINT(-4815677.7208128 -2623148.42711705)";70
"POINT(-43.2599509 -22.9170353)";"POINT(-4815675.70593002 -2621988.53919233)";71
"POINT(-43.2599366 -22.9171016)";"POINT(-4815674.1140613 -2621996.55214106)";72
"POINT(-43.2599293 -22.9171385)";"POINT(-4815673.30142902 -2622001.01183821)";73
"POINT(-43.2599136 -22.9179572)";"POINT(-4815671.55371301 -2622099.95941492)";74
"POINT(-43.2598953 -22.9202471)";"POINT(-4815669.51656633 -2622376.71848987)";75
"POINT(-43.2598826 -22.918849)";"POINT(-4815668.10280879 -2622207.74249271)";76
"POINT(-43.2598237 -22.9200745)";"POINT(-4815661.54609079 -2622355.85775817)";77
"POINT(-43.2598088 -22.9201594)";"POINT(-4815659.88743037 -2622366.1189143)";78
"POINT(-43.2597731 -22.920247)";"POINT(-4815655.91332455 -2622376.70640369)";79
"POINT(-43.2593189 -22.9254585)";"POINT(-4815605.35201183 -2623006.5897364)";80
"POINT(-43.2591627 -22.9251732)";"POINT(-4815587.96390737 -2622972.10657763)";81
"POINT(-43.2584988 -22.9239606)";"POINT(-4815514.05889744 -2622825.54489813)";82
"POINT(-43.2583079 -22.9236206)";"POINT(-4815492.80800664 -2622784.45081476)";83
"POINT(-43.2581966 -22.9236509)";"POINT(-4815480.41814732 -2622788.11301859)";84
"POINT(-43.258072 -22.9236593)";"POINT(-4815466.54773876 -2622789.12828317)";85
"POINT(-43.2579339 -22.9236509)";"POINT(-4815451.17451709 -2622788.11301859)";86
"POINT(-43.257813 -22.9236224)";"POINT(-4815437.71599065 -2622784.6683714)";87
"POINT(-43.2572819 -22.9234532)";"POINT(-4815378.59420909 -2622764.21805983)";88
"POINT(-43.2571747 -22.9234306)";"POINT(-4815366.66075968 -2622761.48651897)";89
"POINT(-43.2570658 -22.9234205)";"POINT(-4815354.53806713 -2622760.26578625)";90
"POINT(-43.2569616 -22.9234197)";"POINT(-4815342.93857619 -2622760.16909456)";91
"POINT(-43.2568578 -22.9234289)";"POINT(-4815331.38361304 -2622761.2810491)";92
"POINT(-43.2567979 -22.9234359)";"POINT(-4815324.71557555 -2622762.12710152)";93
"POINT(-43.2567516 -22.9234443)";"POINT(-4815319.56148312 -2622763.14236448)";94
"POINT(-43.2566804 -22.9234572)";"POINT(-4815311.63553538 -2622764.70151844)";95
"POINT(-43.2564271 -22.9235356)";"POINT(-4815283.43830836 -2622774.17731003)";96
"POINT(-43.2558997 -22.9237187)";"POINT(-4815224.72840892 -2622796.30765588)";97
"POINT(-43.2546841 -22.9241015)";"POINT(-4815089.40843591 -2622842.57479996)";98
"POINT(-43.254565 -22.9241458)";"POINT(-4815076.15028455 -2622847.92913046)";99
"POINT(-43.2544104 -22.9241814)";"POINT(-4815058.94029128 -2622852.23193456)";100
"POINT(-43.2543793 -22.9241881)";"POINT(-4815055.47825511 -2622853.04173209)";101
"POINT(-43.2541578 -22.9242361)";"POINT(-4815030.8209879 -2622858.8432678)";102
"POINT(-43.252939 -22.9243977)";"POINT(-4814895.14479252 -2622878.37511977)";103
"POINT(-43.2527668 -22.9243926)";"POINT(-4814875.97557621 -2622877.75870577)";104
"POINT(-43.2525398 -22.9243821)";"POINT(-4814850.7060518 -2622876.48961819)";105
"POINT(-43.252003 -22.9243574)";"POINT(-4814790.94974914 -2622873.50424114)";106
"POINT(-43.2518622 -22.9243265)";"POINT(-4814775.27596484 -2622869.76949895)";107
"POINT(-43.2516179 -22.9241795)";"POINT(-4814748.08061324 -2622852.0022905)";108
"POINT(-43.2509467 -22.9238404)";"POINT(-4814673.36297102 -2622811.01691922)";109
"POINT(-43.2499585 -22.9233523)";"POINT(-4814563.35705021 -2622752.02282118)";110
"POINT(-43.2477386 -22.9222343)";"POINT(-4814316.2389126 -2622616.89680052)";111
"POINT(-43.2476336 -22.9221796)";"POINT(-4814304.55036607 -2622610.28556497)";112
"POINT(-43.2464548 -22.9215347)";"POINT(-4814173.32695032 -2622532.34087032)";113
"POINT(-43.2457136 -22.9211654)";"POINT(-4814090.81694375 -2622487.70624788)";114
"POINT(-43.2447799 -22.9206978)";"POINT(-4813986.87793519 -2622431.1909893)";115
"POINT(-43.2438727 -22.9200016)";"POINT(-4813885.88889314 -2622347.04694726)";116
"POINT(-43.2438341 -22.9199721)";"POINT(-4813881.5919608 -2622343.48153129)";117
"POINT(-43.2437744 -22.9199262)";"POINT(-4813874.9461872 -2622337.93398732)";118
"POINT(-43.2436578 -22.919814)";"POINT(-4813861.96633457 -2622324.37333219)";119
"POINT(-43.2436243 -22.9197831)";"POINT(-4813858.23713163 -2622320.63871524)";120
"POINT(-43.2415237 -22.9178035)";"POINT(-4813624.39940927 -2622081.3832822)";121
"POINT(-43.2414255 -22.9179637)";"POINT(-4813613.46783528 -2622100.74500329)";122
"POINT(-43.2413971 -22.918006)";"POINT(-4813610.30636174 -2622105.85737167)";123
"POINT(-43.2409152 -22.9187437)";"POINT(-4813556.66149912 -2622195.01588245)";124
"POINT(-43.2408699 -22.9188147)";"POINT(-4813551.61872619 -2622203.5969766)";125
"POINT(-43.24084 -22.9188615)";"POINT(-4813548.29027341 -2622209.25324957)";126
"POINT(-43.2407203 -22.919049)";"POINT(-4813534.96533037 -2622231.91461919)";127
"POINT(-43.2405085 -22.91935)";"POINT(-4813511.38786222 -2622268.29373679)";128
"POINT(-43.2399009 -22.9202948)";"POINT(-4813443.75013961 -2622382.48359828)";129
