"point_4326";"point_4326";"posicao"
"POINT(-43.2593189 -22.9254585)";"POINT(-4815605.35201183 -2623006.5897364)";70
"POINT(-43.2590753 -22.9270317)";"POINT(-4815578.23458388 -2623196.73792254)";71
"POINT(-43.259028 -22.9269434)";"POINT(-4815572.96917196 -2623186.0652955)";72
"POINT(-43.2584503 -22.9258655)";"POINT(-4815508.65990213 -2623055.78245102)";73
"POINT(-43.2576519 -22.9243589)";"POINT(-4815419.78242068 -2622873.68553932)";74
"POINT(-43.2576164 -22.9262563)";"POINT(-4815415.83057876 -2623103.01726547)";75
"POINT(-43.2572283 -22.9255462)";"POINT(-4815372.62748438 -2623017.18972655)";76
"POINT(-43.2572187 -22.9245632)";"POINT(-4815371.55881727 -2622898.37837103)";77
"POINT(-43.2568066 -22.9247599)";"POINT(-4815325.68405511 -2622922.15265975)";78
"POINT(-43.2564552 -22.9249277)";"POINT(-4815286.56638605 -2622942.4339562)";79
"POINT(-43.2556012 -22.9253208)";"POINT(-4815191.49954091 -2622989.94643619)";80
"POINT(-43.255434 -22.9254006)";"POINT(-4815172.88692205 -2622999.59157107)";81
"POINT(-43.2553138 -22.9254625)";"POINT(-4815159.50631926 -2623007.07320217)";82
"POINT(-43.255204 -22.9255167)";"POINT(-4815147.28343917 -2623013.62416467)";83
"POINT(-43.2541955 -22.9260259)";"POINT(-4815035.0177327 -2623075.16949758)";84
"POINT(-43.2532771 -22.9264528)";"POINT(-4814932.78191236 -2623126.76767786)";85
"POINT(-43.2523169 -22.9248748)";"POINT(-4814825.8929373 -2622936.04014788)";86
"POINT(-43.2522663 -22.9247917)";"POINT(-4814820.26017107 -2622925.99619314)";87
"POINT(-43.2520714 -22.9245822)";"POINT(-4814798.56400231 -2622900.67481835)";88
"POINT(-43.2519587 -22.9244982)";"POINT(-4814786.0182957 -2622890.52210629)";89
"POINT(-43.2518226 -22.9244358)";"POINT(-4814770.867713 -2622882.98009569)";90
"POINT(-43.2517274 -22.9243957)";"POINT(-4814760.27009748 -2622878.13338878)";91
"POINT(-43.2509414 -22.924018)";"POINT(-4814672.77297772 -2622832.4825565)";92
"POINT(-43.2499125 -22.9234943)";"POINT(-4814558.23635364 -2622769.18559771)";93
"POINT(-43.2494526 -22.9232528)";"POINT(-4814507.04051982 -2622739.99680187)";94
"POINT(-43.2494011 -22.9232258)";"POINT(-4814501.30756605 -2622736.73346147)";95
"POINT(-43.2491921 -22.923116)";"POINT(-4814478.04179247 -2622723.46255054)";96
"POINT(-43.2481034 -22.9225443)";"POINT(-4814356.84826284 -2622654.36454784)";97
"POINT(-43.247887 -22.9224389)";"POINT(-4814332.75872504 -2622641.62550413)";98
"POINT(-43.2476739 -22.9223351)";"POINT(-4814309.03654155 -2622629.07985218)";99
"POINT(-43.2463631 -22.9216633)";"POINT(-4814163.11895302 -2622547.88385161)";100
"POINT(-43.2456384 -22.9212901)";"POINT(-4814082.44571804 -2622502.7778222)";101
"POINT(-43.2449379 -22.9209528)";"POINT(-4814004.46641474 -2622462.01087731)";102
"POINT(-43.2445802 -22.9207746)";"POINT(-4813964.64743288 -2622440.47320829)";103
"POINT(-43.2440699 -22.9203691)";"POINT(-4813907.84109673 -2622391.46363491)";104
"POINT(-43.2438191 -22.9202198)";"POINT(-4813879.92216844 -2622373.41896333)";105
"POINT(-43.2437761 -22.9201951)";"POINT(-4813875.13543033 -2622370.43367799)";106
"POINT(-43.243593 -22.9201069)";"POINT(-4813854.75283157 -2622359.77367565)";107
"POINT(-43.2432003 -22.9199138)";"POINT(-4813811.03766754 -2622336.43530474)";108
"POINT(-43.2418428 -22.9192167)";"POINT(-4813659.92145878 -2622252.18297474)";109
"POINT(-43.2413642 -22.9189772)";"POINT(-4813606.64395049 -2622223.23682168)";110
"POINT(-43.2410384 -22.918806)";"POINT(-4813570.37606039 -2622202.54549017)";111
"POINT(-43.2409907 -22.9187819)";"POINT(-4813565.06612068 -2622199.63275227)";112
"POINT(-43.2409152 -22.9187437)";"POINT(-4813556.66149912 -2622195.01588245)";113
"POINT(-43.2398266 -22.9181668)";"POINT(-4813435.47910144 -2622125.29163766)";114
"POINT(-43.2396983 -22.9180993)";"POINT(-4813421.19681078 -2622117.13359409)";115
"POINT(-43.2392973 -22.9187655)";"POINT(-4813376.55769497 -2622197.65064046)";116
"POINT(-43.2387739 -22.9196366)";"POINT(-4813318.29307349 -2622302.93253317)";117
"POINT(-43.2387315 -22.9197093)";"POINT(-4813313.57312708 -2622311.71914809)";118
"POINT(-43.2382218 -22.9205272)";"POINT(-4813256.83358262 -2622410.57191229)";119
"POINT(-43.2372201 -22.9221373)";"POINT(-4813145.32484869 -2622605.17303913)";120
"POINT(-43.2367125 -22.9229235)";"POINT(-4813088.81907517 -2622700.19617983)";121
"POINT(-43.2363181 -22.9235709)";"POINT(-4813044.914668 -2622778.44383533)";122
"POINT(-43.2361854 -22.9237639)";"POINT(-4813030.14257157 -2622801.77074968)";123
"POINT(-43.2360245 -22.9239041)";"POINT(-4813012.2312655 -2622818.71602125)";124
"POINT(-43.2360196 -22.9238821)";"POINT(-4813011.6858 -2622816.05699031)";125
"POINT(-43.2359529 -22.9238933)";"POINT(-4813004.26078996 -2622817.41067874)";126
"POINT(-43.235881 -22.9238676)";"POINT(-4812996.25691857 -2622814.30444743)";127
"POINT(-43.2352608 -22.9236027)";"POINT(-4812927.21657038 -2622782.28733499)";128
"POINT(-43.2351283 -22.9235249)";"POINT(-4812912.46673785 -2622772.88405754)";129
"POINT(-43.2350634 -22.9234945)";"POINT(-4812905.2421029 -2622769.20977064)";130
"POINT(-43.2344606 -22.9231136)";"POINT(-4812838.13871385 -2622723.1724761)";131
"POINT(-43.2329067 -22.9224391)";"POINT(-4812665.15935711 -2622641.64967688)";132
"POINT(-43.2321755 -22.9214483)";"POINT(-4812583.76254544 -2622521.89831574)";133
"POINT(-43.2317843 -22.9208664)";"POINT(-4812540.21436064 -2622451.56836758)";134
"POINT(-43.2313351 -22.920231)";"POINT(-4812490.20964538 -2622374.77261516)";135
"POINT(-43.2310256 -22.9197639)";"POINT(-4812455.75626297 -2622318.31817697)";136
"POINT(-43.2309289 -22.9196183)";"POINT(-4812444.99166821 -2622300.72077253)";137
