"point_4326";"point_4326";"posicao"
"POINT(-43.2477336 -22.8638759)";"POINT(-4814315.68231515 -2615565.01001431)";1
"POINT(-43.2477201 -22.8634085)";"POINT(-4814314.17950202 -2615508.54277432)";2
"POINT(-43.2477125 -22.8642588)";"POINT(-4814313.33347389 -2615611.26883725)";3
"POINT(-43.2476946 -22.8623327)";"POINT(-4814311.34085501 -2615378.57462751)";4
"POINT(-43.2476825 -22.8648748)";"POINT(-4814309.99388917 -2615685.68915502)";5
"POINT(-43.2476391 -22.8612675)";"POINT(-4814305.16262327 -2615249.88808784)";6
"POINT(-43.247628 -22.8607132)";"POINT(-4814303.92697692 -2615182.92364558)";7
"POINT(-43.2476251 -22.8605679)";"POINT(-4814303.6041504 -2615165.37013951)";8
"POINT(-43.2475777 -22.8587654)";"POINT(-4814298.32760653 -2614947.61399391)";9
"POINT(-43.2475758 -22.8586929)";"POINT(-4814298.1160995 -2614938.85548536)";10
"POINT(-43.2475429 -22.8578761)";"POINT(-4814294.45368825 -2614840.1806388)";11
"POINT(-43.2474919 -22.856457)";"POINT(-4814288.77639422 -2614668.74537559)";12
"POINT(-43.247483 -22.8562073)";"POINT(-4814287.78565076 -2614638.58039607)";13
"POINT(-43.2474707 -22.8550152)";"POINT(-4814286.41642102 -2614494.56965766)";14
"POINT(-43.2474322 -22.854036)";"POINT(-4814282.13062062 -2614376.27908739)";15
"POINT(-43.2474191 -22.8534128)";"POINT(-4814280.67233529 -2614300.99492795)";16
"POINT(-43.2474203 -22.8531487)";"POINT(-4814280.80591868 -2614269.09107425)";17
"POINT(-43.2473867 -22.8520531)";"POINT(-4814277.06558379 -2614136.74087618)";18
"POINT(-43.2472483 -22.8511677)";"POINT(-4814261.65896627 -2614029.78394696)";19
"POINT(-43.2471981 -22.8680806)";"POINT(-4814256.07072783 -2616072.99436648)";20
"POINT(-43.2470703 -22.8507831)";"POINT(-4814241.8440969 -2613983.32421932)";21
"POINT(-43.2470688 -22.85078)";"POINT(-4814241.67711767 -2613982.94973947)";22
"POINT(-43.2469775 -22.8505565)";"POINT(-4814231.51364816 -2613955.95097278)";23
"POINT(-43.2469578 -22.8690137)";"POINT(-4814229.32065419 -2616185.72753696)";24
"POINT(-43.2468608 -22.8692959)";"POINT(-4814218.52266358 -2616219.82189235)";25
"POINT(-43.2467478 -22.8500473)";"POINT(-4814205.94356112 -2613894.4398544)";26
"POINT(-43.2467003 -22.8697334)";"POINT(-4814200.65588531 -2616272.67915669)";27
"POINT(-43.2464594 -22.8496116)";"POINT(-4814173.83901998 -2613841.80768403)";28
"POINT(-43.2463484 -22.8705084)";"POINT(-4814161.4825565 -2616366.31244284)";29
"POINT(-43.2461815 -22.849277)";"POINT(-4814142.90333349 -2613801.38841774)";30
"POINT(-43.2459469 -22.8489972)";"POINT(-4814116.78778095 -2613767.58900005)";31
"POINT(-43.2454348 -22.871871)";"POINT(-4814059.78106971 -2616530.93917784)";32
"POINT(-43.2452713 -22.8720711)";"POINT(-4814041.58033297 -2616555.11501754)";33
"POINT(-43.2452207 -22.8483151)";"POINT(-4814035.94756673 -2613685.19264101)";34
"POINT(-43.2448156 -22.8479472)";"POINT(-4813990.85204101 -2613640.75120507)";35
"POINT(-43.2446395 -22.8728948)";"POINT(-4813971.24867868 -2616654.6338292)";36
"POINT(-43.2444563 -22.8476242)";"POINT(-4813950.85494797 -2613601.73368036)";37
"POINT(-43.2443985 -22.8731918)";"POINT(-4813944.4206814 -2616690.51729284)";38
"POINT(-43.2440999 -22.8473468)";"POINT(-4813911.18068145 -2613568.22458605)";39
"POINT(-43.2437169 -22.8737183)";"POINT(-4813868.54531648 -2616754.12908034)";40
"POINT(-43.2437135 -22.8471553)";"POINT(-4813868.16683021 -2613545.09199594)";41
"POINT(-43.2435127 -22.873996)";"POINT(-4813845.81387646 -2616787.68092401)";42
"POINT(-43.2432956 -22.8469948)";"POINT(-4813821.64641501 -2613525.70413219)";43
"POINT(-43.2429216 -22.8747221)";"POINT(-4813780.01292545 -2616875.40898925)";44
"POINT(-43.2426772 -22.8750028)";"POINT(-4813752.8064419 -2616909.32354537)";45
"POINT(-43.2426169 -22.8468106)";"POINT(-4813746.09387661 -2613503.45341583)";46
