"point_4326";"point_4326";"posicao"
"POINT(-43.5564003 -22.9019826)";"POINT(-4848676.30218399 -2620169.38704406)";1
"POINT(-43.5563267 -22.9018265)";"POINT(-4848668.10906947 -2620150.52307116)";2
"POINT(-43.5562731 -22.9017648)";"POINT(-4848662.14234476 -2620143.06691362)";3
"POINT(-43.5561726 -22.9017232)";"POINT(-4848650.95473593 -2620138.03974934)";4
"POINT(-43.5544336 -22.9013513)";"POINT(-4848457.37014144 -2620093.0974526)";5
"POINT(-43.5542652 -22.9013149)";"POINT(-4848438.6239392 -2620088.69869718)";6
"POINT(-43.5529863 -22.901091)";"POINT(-4848296.25744242 -2620061.64154355)";7
"POINT(-43.5529273 -22.9010836)";"POINT(-4848289.68959246 -2620060.74729269)";8
"POINT(-43.5528268 -22.9010629)";"POINT(-4848278.50198364 -2620058.24580746)";9
"POINT(-43.5508045 -22.9006475)";"POINT(-4848053.38057741 -2620008.04700083)";10
"POINT(-43.5505154 -22.9023168)";"POINT(-4848021.19811262 -2620209.77366249)";11
"POINT(-43.5505093 -22.9023816)";"POINT(-4848020.51906373 -2620217.60447256)";12
"POINT(-43.5505053 -22.9022329)";"POINT(-4848020.07378576 -2620199.63470255)";13
"POINT(-43.5504606 -22.9024754)";"POINT(-4848015.09780452 -2620228.93981845)";14
"POINT(-43.5504359 -22.9025125)";"POINT(-4848012.3482131 -2620233.42320369)";15
"POINT(-43.5504321 -22.9019125)";"POINT(-4848011.92519904 -2620160.91577616)";16
"POINT(-43.5503849 -22.9025636)";"POINT(-4848006.67091907 -2620239.59843442)";17
"POINT(-43.5503391 -22.9025975)";"POINT(-4848001.57248639 -2620243.6951152)";18
"POINT(-43.5502525 -22.9026352)";"POINT(-4847991.93221849 -2620248.25101212)";19
"POINT(-43.5502231 -22.9013205)";"POINT(-4847988.65942546 -2620089.37542871)";20
"POINT(-43.5501882 -22.9005321)";"POINT(-4847984.77437523 -2619994.10157245)";21
"POINT(-43.5501089 -22.9005544)";"POINT(-4847975.94673961 -2619996.79639867)";22
"POINT(-43.5500594 -22.9026574)";"POINT(-4847970.43642482 -2620250.93379552)";23
"POINT(-43.5500429 -22.9006119)";"POINT(-4847968.59965322 -2620003.74494367)";24
"POINT(-43.5500101 -22.9007662)";"POINT(-4847964.94837392 -2620022.39122767)";25
"POINT(-43.5500102 -22.9006793)";"POINT(-4847964.95950587 -2620011.8898506)";26
"POINT(-43.5495981 -22.9025722)";"POINT(-4847919.08474371 -2620240.63771027)";27
"POINT(-43.5495516 -22.9025636)";"POINT(-4847913.90838739 -2620239.59843442)";28
"POINT(-43.5494121 -22.9025389)";"POINT(-4847898.37931843 -2620236.61353787)";29
"POINT(-43.5493451 -22.9025265)";"POINT(-4847890.92091254 -2620235.11504749)";30
"POINT(-43.5490257 -22.902491)";"POINT(-4847855.36546719 -2620230.82501533)";31
"POINT(-43.5489007 -22.902477)";"POINT(-4847841.45053083 -2620229.13317196)";32
"POINT(-43.548442 -22.9023856)";"POINT(-4847790.38828041 -2620218.08785602)";33
"POINT(-43.5474793 -22.9022207)";"POINT(-4847683.22100662 -2620198.1603847)";34
"POINT(-43.546651 -22.9020615)";"POINT(-4847591.0150724 -2620178.92175739)";35
"POINT(-43.5462346 -22.9019642)";"POINT(-4847544.66163643 -2620167.16348687)";36
"POINT(-43.5459268 -22.9019111)";"POINT(-4847510.39749716 -2620160.74659254)";37
"POINT(-43.5453474 -22.901753)";"POINT(-4847445.8989842 -2620141.64093898)";38
"POINT(-43.5450041 -22.9016427)";"POINT(-4847407.68300301 -2620128.31170746)";39
"POINT(-43.5448861 -22.9016048)";"POINT(-4847394.5473031 -2620123.73167484)";40
"POINT(-43.5446629 -22.9015134)";"POINT(-4847369.70079275 -2620112.68642992)";41
"POINT(-43.5444033 -22.9014071)";"POINT(-4847340.80225294 -2620099.84060193)";42
"POINT(-43.5442434 -22.9013257)";"POINT(-4847323.00226636 -2620090.0038223)";43
"POINT(-43.5439956 -22.9011996)";"POINT(-4847295.41729654 -2620074.76528466)";44
"POINT(-43.5438732 -22.901108)";"POINT(-4847281.79179087 -2620063.6959038)";45
"POINT(-43.5436523 -22.9009426)";"POINT(-4847257.20131535 -2620043.70819791)";46
"POINT(-43.5430944 -22.9005077)";"POINT(-4847195.09617144 -2619991.15297386)";47
"POINT(-43.5428562 -22.9002991)";"POINT(-4847168.57986874 -2619965.94489447)";48
"POINT(-43.541751 -22.8993275)";"POINT(-4847045.54956751 -2619848.53327708)";49
"POINT(-43.5405164 -22.8982365)";"POINT(-4846908.11452418 -2619716.69393923)";50
"POINT(-43.54038 -22.898116)";"POINT(-4846892.93054563 -2619702.13246419)";51
"POINT(-43.5393237 -22.8971799)";"POINT(-4846775.34376751 -2619589.01259948)";52
"POINT(-43.5384488 -22.8964061)";"POINT(-4846677.95034501 -2619495.5059232)";53
"POINT(-43.5377102 -22.8957527)";"POINT(-4846595.72976911 -2619416.54890473)";54
"POINT(-43.5373217 -22.8954102)";"POINT(-4846552.48214694 -2619375.16127147)";55
"POINT(-43.5367578 -22.8949138)";"POINT(-4846489.70908608 -2619315.17657766)";56
"POINT(-43.5361228 -22.8943786)";"POINT(-4846419.02120943 -2619250.50355978)";57
"POINT(-43.5359733 -22.8943061)";"POINT(-4846402.37894556 -2619241.74275393)";58
"POINT(-43.535786 -22.894253)";"POINT(-4846381.52880493 -2619235.32622185)";59
"POINT(-43.5352515 -22.8943005)";"POINT(-4846322.0285371 -2619241.06605739)";60
"POINT(-43.5346522 -22.8943835)";"POINT(-4846255.31476627 -2619251.09566959)";61
"POINT(-43.5344196 -22.894378)";"POINT(-4846229.42185271 -2619250.43105654)";62
