"point_4326";"point_900913"
"POINT(-43.1940635 -22.7964307)";"POINT(-4808341.15411233 -2607418.8678729)"
"POINT(-43.1940351 -22.7963533)";"POINT(-4808337.99263879 -2607409.52169119)"
"POINT(-43.1940592 -22.7962389)";"POINT(-4808340.67543851 -2607395.70770622)"
"POINT(-43.1957028 -22.7951081)";"POINT(-4808523.64015358 -2607259.16240147)"
"POINT(-43.1966352 -22.7946064)";"POINT(-4808627.4344468 -2607198.58195467)"
"POINT(-43.1967212 -22.7945506)";"POINT(-4808637.007923 -2607191.84409934)"
"POINT(-43.1967212 -22.7945506)";"POINT(-4808637.007923 -2607191.84409934)"
"POINT(-43.1972188 -22.7942819)";"POINT(-4808692.40050162 -2607159.39858728)"
"POINT(-43.1977081 -22.7940841)";"POINT(-4808746.86912847 -2607135.51428766)"
"POINT(-43.1982488 -22.7940208)";"POINT(-4808807.05957714 -2607127.87083611)"
"POINT(-43.1990384 -22.7939971)";"POINT(-4808894.95744707 -2607125.0090708)"
"POINT(-43.2014653 -22.7945282)";"POINT(-4809165.11871928 -2607189.13929798)"
"POINT(-43.2019395 -22.7946143)";"POINT(-4809217.90642181 -2607199.53588065)"
"POINT(-43.2023429 -22.7947804)";"POINT(-4809262.8127044 -2607219.592489)"
"POINT(-43.2036304 -22.7956508)";"POINT(-4809406.13654879 -2607324.69386332)"
"POINT(-43.2040166 -22.7958407)";"POINT(-4809449.12813614 -2607347.62450279)"
"POINT(-43.1990384 -22.7939971)";"POINT(-4808894.95744707 -2607125.0090708)"
"POINT(-43.1993217 -22.7940208)";"POINT(-4808926.49425881 -2607127.87083611)"
"POINT(-43.201416 -22.7945193)";"POINT(-4809159.63066838 -2607188.06462256)"
"POINT(-43.2014653 -22.7945282)";"POINT(-4809165.11871928 -2607189.13929798)"
"POINT(-43.2032514 -22.7966061)";"POINT(-4809363.94646178 -2607440.04774104)"
"POINT(-43.2028033 -22.7966164)";"POINT(-4809314.06419796 -2607441.29148557)"
"POINT(-43.2042414 -22.796587)";"POINT(-4809474.15275767 -2607437.74138007)"
"POINT(-43.2032514 -22.7966061)";"POINT(-4809363.94646178 -2607440.04774104)"
"POINT(-43.2014653 -22.7945282)";"POINT(-4809165.11871928 -2607189.13929798)"
"POINT(-43.2019395 -22.7946143)";"POINT(-4809217.90642181 -2607199.53588065)"
"POINT(-43.2023429 -22.7947804)";"POINT(-4809262.8127044 -2607219.592489)"
"POINT(-43.2036304 -22.7956508)";"POINT(-4809406.13654879 -2607324.69386332)"
"POINT(-43.2040166 -22.7958407)";"POINT(-4809449.12813614 -2607347.62450279)"
"POINT(-43.2043947 -22.7965839)";"POINT(-4809491.21803561 -2607437.36704927)"
"POINT(-43.2042414 -22.796587)";"POINT(-4809474.15275767 -2607437.74138007)"
"POINT(-43.2040166 -22.7958407)";"POINT(-4809449.12813614 -2607347.62450279)"
"POINT(-43.2044997 -22.796161)";"POINT(-4809502.90658214 -2607386.3011619)"
"POINT(-43.2045617 -22.7963084)";"POINT(-4809509.80839057 -2607404.09994221)"
"POINT(-43.2045239 -22.796433)";"POINT(-4809505.60051382 -2607419.1456019)"
"POINT(-43.2043947 -22.7965839)";"POINT(-4809491.21803561 -2607437.36704927)"
"POINT(-43.2012434 -22.7980963)";"POINT(-4809140.41692427 -2607619.99319321)"
"POINT(-43.2013315 -22.7981599)";"POINT(-4809150.22417141 -2607627.67309925)"
"POINT(-43.2014819 -22.7982552)";"POINT(-4809166.96662282 -2607639.18088969)"
"POINT(-43.2028033 -22.7966164)";"POINT(-4809314.06419796 -2607441.29148557)"
"POINT(-43.2023044 -22.7966368)";"POINT(-4809258.526904 -2607443.75482452)"
"POINT(-43.2019154 -22.7966328)";"POINT(-4809215.22362208 -2607443.27181686)"
"POINT(-43.2018156 -22.7967074)";"POINT(-4809204.1139369 -2607452.27991219)"
"POINT(-43.2017296 -22.7968378)";"POINT(-4809194.54046069 -2607468.02597806)"
"POINT(-43.2012434 -22.7980963)";"POINT(-4809140.41692427 -2607619.99319321)"
"POINT(-43.2023044 -22.7966368)";"POINT(-4809258.526904 -2607443.75482452)"
"POINT(-43.2019154 -22.7966328)";"POINT(-4809215.22362208 -2607443.27181686)"
"POINT(-43.2030148 -22.7989525)";"POINT(-4809337.60827026 -2607723.38241757)"
"POINT(-43.2029703 -22.7989808)";"POINT(-4809332.65455292 -2607726.79975528)"
"POINT(-43.2029266 -22.7989895)";"POINT(-4809327.78989117 -2607727.85031507)"
"POINT(-43.2028883 -22.7989854)";"POINT(-4809323.52635468 -2607727.35522366)"
"POINT(-43.2028488 -22.7989682)";"POINT(-4809319.12923479 -2607725.27825501)"
"POINT(-43.2028268 -22.79895)";"POINT(-4809316.68020599 -2607723.08053265)"
"POINT(-43.2028042 -22.7989164)";"POINT(-4809314.1643855 -2607719.02319983)"
"POINT(-43.2028042 -22.7989164)";"POINT(-4809314.1643855 -2607719.02319983)"
"POINT(-43.2025675 -22.7986369)";"POINT(-4809287.81506203 -2607685.27250877)"
"POINT(-43.2016524 -22.7983211)";"POINT(-4809185.946596 -2607647.13853753)"
"POINT(-43.2014819 -22.7982552)";"POINT(-4809166.96662282 -2607639.18088969)"
"POINT(-43.2025675 -22.7986369)";"POINT(-4809287.81506203 -2607685.27250877)"
"POINT(-43.2021796 -22.7984927)";"POINT(-4809244.63423155 -2607667.85983583)"
"POINT(-43.2021796 -22.7984927)";"POINT(-4809244.63423155 -2607667.85983583)"
"POINT(-43.2016524 -22.7983211)";"POINT(-4809185.946596 -2607647.13853753)"
"POINT(-43.2021858 -22.8015255)";"POINT(-4809245.3244124 -2608034.08531484)"
"POINT(-43.2033143 -22.8027773)";"POINT(-4809370.94845775 -2608185.24868219)"
"POINT(-43.2020493 -22.8013774)";"POINT(-4809230.1293019 -2608016.201324)"
"POINT(-43.2021858 -22.8015255)";"POINT(-4809245.3244124 -2608034.08531484)"
"POINT(-43.2020421 -22.8011732)";"POINT(-4809229.32780157 -2607991.54294312)"
"POINT(-43.2020333 -22.80123)";"POINT(-4809228.34819005 -2607998.4018818)"
"POINT(-43.2020315 -22.801282)";"POINT(-4809228.14781496 -2608004.68119435)"
"POINT(-43.2020333 -22.8013161)";"POINT(-4809228.34819005 -2608008.79897562)"
"POINT(-43.2020493 -22.8013774)";"POINT(-4809230.1293019 -2608016.201324)"
"POINT(-43.2028579 -22.799916)";"POINT(-4809320.14224216 -2607839.72927883)"
"POINT(-43.2027989 -22.7997488)";"POINT(-4809313.5743922 -2607819.53908472)"
"POINT(-43.2027807 -22.7995434)";"POINT(-4809311.54837747 -2607794.73609308)"
"POINT(-43.2027665 -22.799353)";"POINT(-4809309.9676407 -2607771.74445359)"
"POINT(-43.2028027 -22.7991816)";"POINT(-4809313.99740626 -2607751.04717534)"
"POINT(-43.2026187 -22.8004393)";"POINT(-4809293.51461996 -2607902.92039929)"
"POINT(-43.2028346 -22.80015)";"POINT(-4809317.54849802 -2607867.98593179)"
"POINT(-43.2028346 -22.80015)";"POINT(-4809317.54849802 -2607867.98593179)"
"POINT(-43.2028579 -22.799916)";"POINT(-4809320.14224216 -2607839.72927883)"
"POINT(-43.2026187 -22.8004393)";"POINT(-4809293.51461996 -2607902.92039929)"
"POINT(-43.202692 -22.8005107)";"POINT(-4809301.67433863 -2607911.54232905)"
"POINT(-43.2025848 -22.8006316)";"POINT(-4809289.74088922 -2607926.14165739)"
"POINT(-43.2020421 -22.8011732)";"POINT(-4809229.32780157 -2607991.54294312)"
"POINT(-43.202692 -22.8005107)";"POINT(-4809301.67433863 -2607911.54232905)"
"POINT(-43.2025848 -22.8006316)";"POINT(-4809289.74088922 -2607926.14165739)"
"POINT(-43.2033143 -22.8027773)";"POINT(-4809370.94845775 -2608185.24868219)"
"POINT(-43.203418 -22.8028887)";"POINT(-4809382.49228895 -2608198.70105745)"
"POINT(-43.2044002 -22.8039178)";"POINT(-4809491.83029281 -2608322.97302604)"
"POINT(-43.2045238 -22.8040196)";"POINT(-4809505.58938187 -2608335.26623262)"
"POINT(-43.2021858 -22.8015255)";"POINT(-4809245.3244124 -2608034.08531484)"
"POINT(-43.2033143 -22.8027773)";"POINT(-4809370.94845775 -2608185.24868219)"
"POINT(-43.2062168 -22.804433)";"POINT(-4809694.05327978 -2608385.1878555)"
"POINT(-43.2075323 -22.8047108)";"POINT(-4809840.49406992 -2608418.7346915)"
"POINT(-43.2056792 -22.8043251)";"POINT(-4809634.20792153 -2608372.15798335)"
"POINT(-43.2062168 -22.804433)";"POINT(-4809694.05327978 -2608385.1878555)"
"POINT(-43.2050195 -22.8042187)";"POINT(-4809560.77045345 -2608359.30925947)"
"POINT(-43.2056792 -22.8043251)";"POINT(-4809634.20792153 -2608372.15798335)"
"POINT(-43.2033143 -22.8027773)";"POINT(-4809370.94845775 -2608185.24868219)"
"POINT(-43.203418 -22.8028887)";"POINT(-4809382.49228895 -2608198.70105745)"
"POINT(-43.2044002 -22.8039178)";"POINT(-4809491.83029281 -2608322.97302604)"
"POINT(-43.2045238 -22.8040196)";"POINT(-4809505.58938187 -2608335.26623262)"
"POINT(-43.2045238 -22.8040196)";"POINT(-4809505.58938187 -2608335.26623262)"
"POINT(-43.2047244 -22.8041562)";"POINT(-4809527.92007172 -2608351.76184646)"
"POINT(-43.2048195 -22.8041764)";"POINT(-4809538.5065553 -2608354.20116996)"
"POINT(-43.2050195 -22.8042187)";"POINT(-4809560.77045345 -2608359.30925947)"
"POINT(-43.2047244 -22.8041562)";"POINT(-4809527.92007172 -2608351.76184646)"
"POINT(-43.2048195 -22.8041764)";"POINT(-4809538.5065553 -2608354.20116996)"
"POINT(-43.2087386 -22.8049745)";"POINT(-4809974.77877166 -2608450.5788896)"
"POINT(-43.2089502 -22.8050281)";"POINT(-4809998.33397592 -2608457.05158965)"
"POINT(-43.2090894 -22.8050556)";"POINT(-4810013.82964904 -2608460.3724722)"
"POINT(-43.2084082 -22.8049011)";"POINT(-4809937.99881191 -2608441.71515895)"
"POINT(-43.2087386 -22.8049745)";"POINT(-4809974.77877166 -2608450.5788896)"
"POINT(-43.2062168 -22.804433)";"POINT(-4809694.05327978 -2608385.1878555)"
"POINT(-43.2075323 -22.8047108)";"POINT(-4809840.49406992 -2608418.7346915)"
"POINT(-43.2075323 -22.8047108)";"POINT(-4809840.49406992 -2608418.7346915)"
"POINT(-43.20767 -22.8047419)";"POINT(-4809855.8227638 -2608422.49029907)"
"POINT(-43.2081427 -22.804831)";"POINT(-4809908.4434871 -2608433.24993836)"
"POINT(-43.2084082 -22.8049011)";"POINT(-4809937.99881191 -2608441.71515895)"
"POINT(-43.20767 -22.8047419)";"POINT(-4809855.8227638 -2608422.49029907)"
"POINT(-43.2081427 -22.804831)";"POINT(-4809908.4434871 -2608433.24993836)"
"POINT(-43.2102188 -22.8051747)";"POINT(-4810139.55388193 -2608474.75492035)"
"POINT(-43.2108258 -22.8053137)";"POINT(-4810207.12481285 -2608491.54049706)"
"POINT(-43.2109776 -22.8053528)";"POINT(-4810224.02311155 -2608496.26219835)"
"POINT(-43.2097659 -22.8051655)";"POINT(-4810089.13728456 -2608473.64393314)"
"POINT(-43.2102188 -22.8051747)";"POINT(-4810139.55388193 -2608474.75492035)"
"POINT(-43.2090894 -22.8050556)";"POINT(-4810013.82964904 -2608460.3724722)"
"POINT(-43.209424 -22.8051245)";"POINT(-4810051.07715065 -2608468.69279542)"
"POINT(-43.2095849 -22.805149)";"POINT(-4810068.98845672 -2608471.65140193)"
"POINT(-43.2097659 -22.8051655)";"POINT(-4810089.13728456 -2608473.64393314)"
"POINT(-43.209424 -22.8051245)";"POINT(-4810051.07715065 -2608468.69279542)"
"POINT(-43.2095849 -22.805149)";"POINT(-4810068.98845672 -2608471.65140193)"
"POINT(-43.2116476 -22.8054969)";"POINT(-4810298.60717038 -2608513.6636718)"
"POINT(-43.2126546 -22.8057888)";"POINT(-4810410.70589761 -2608548.91348602)"
"POINT(-43.2114616 -22.8054514)";"POINT(-4810277.90174509 -2608508.16910325)"
"POINT(-43.2116476 -22.8054969)";"POINT(-4810298.60717038 -2608513.6636718)"
"POINT(-43.2102188 -22.8051747)";"POINT(-4810139.55388193 -2608474.75492035)"
"POINT(-43.2108258 -22.8053137)";"POINT(-4810207.12481285 -2608491.54049706)"
"POINT(-43.2109776 -22.8053528)";"POINT(-4810224.02311155 -2608496.26219835)"
"POINT(-43.211175 -22.8053951)";"POINT(-4810245.99757903 -2608501.37033195)"
"POINT(-43.2114616 -22.8054514)";"POINT(-4810277.90174509 -2608508.16910325)"
"POINT(-43.2109776 -22.8053528)";"POINT(-4810224.02311155 -2608496.26219835)"
"POINT(-43.211175 -22.8053951)";"POINT(-4810245.99757903 -2608501.37033195)"
"POINT(-43.2176207 -22.811461)";"POINT(-4810963.52962084 -2609233.9027712)"
"POINT(-43.2185745 -22.8120406)";"POINT(-4811069.70615116 -2609303.89834598)"
"POINT(-43.2198564 -22.8128197)";"POINT(-4811212.40660641 -2609397.98706972)"
"POINT(-43.2201139 -22.8130096)";"POINT(-4811241.07137529 -2609420.92059839)"
"POINT(-43.2203456 -22.8132707)";"POINT(-4811266.8641013 -2609452.45274294)"
"POINT(-43.2215426 -22.8148384)";"POINT(-4811400.11353178 -2609641.77972439)"
"POINT(-43.2220301 -22.8154007)";"POINT(-4811454.38178354 -2609709.68773873)"
"POINT(-43.214496 -22.8068503)";"POINT(-4810615.68960796 -2608677.10075433)"
"POINT(-43.2145632 -22.8069708)";"POINT(-4810623.17027774 -2608691.65245741)"
"POINT(-43.2159683 -22.8100902)";"POINT(-4810779.58529425 -2609068.35886672)"
"POINT(-43.2160926 -22.8103263)";"POINT(-4810793.42230696 -2609096.87123401)"
"POINT(-43.2162858 -22.8105411)";"POINT(-4810814.92923258 -2609122.8113722)"
"POINT(-43.2165519 -22.8107706)";"POINT(-4810844.55134908 -2609150.52678852)"
"POINT(-43.2167579 -22.8109367)";"POINT(-4810867.48316418 -2609170.58577472)"
"POINT(-43.2176207 -22.811461)";"POINT(-4810963.52962084 -2609233.9027712)"
"POINT(-43.2142336 -22.806514)";"POINT(-4810586.47937357 -2608636.48889088)"
"POINT(-43.2143544 -22.8066544)";"POINT(-4810599.92676806 -2608653.44369769)"
"POINT(-43.214496 -22.8068503)";"POINT(-4810615.68960796 -2608677.10075433)"
"POINT(-43.2116476 -22.8054969)";"POINT(-4810298.60717038 -2608513.6636718)"
"POINT(-43.2126546 -22.8057888)";"POINT(-4810410.70589761 -2608548.91348602)"
"POINT(-43.2126546 -22.8057888)";"POINT(-4810410.70589761 -2608548.91348602)"
"POINT(-43.2128258 -22.8058469)";"POINT(-4810429.76379443 -2608555.92964511)"
"POINT(-43.2133528 -22.8060057)";"POINT(-4810488.42916608 -2608575.10635679)"
"POINT(-43.2134662 -22.8060363)";"POINT(-4810501.05279634 -2608578.80161993)"
"POINT(-43.2137899 -22.8061897)";"POINT(-4810537.08691551 -2608597.3262522)"
"POINT(-43.2140199 -22.8063379)";"POINT(-4810562.69039839 -2608615.22295063)"
"POINT(-43.2142336 -22.806514)";"POINT(-4810586.47937357 -2608636.48889088)"
"POINT(-43.2128258 -22.8058469)";"POINT(-4810429.76379443 -2608555.92964511)"
"POINT(-43.2133528 -22.8060057)";"POINT(-4810488.42916608 -2608575.10635679)"
"POINT(-43.2176207 -22.811461)";"POINT(-4810963.52962084 -2609233.9027712)"
"POINT(-43.2185745 -22.8120406)";"POINT(-4811069.70615116 -2609303.89834598)"
"POINT(-43.2198564 -22.8128197)";"POINT(-4811212.40660641 -2609397.98706972)"
"POINT(-43.2201139 -22.8130096)";"POINT(-4811241.07137529 -2609420.92059839)"
"POINT(-43.2203456 -22.8132707)";"POINT(-4811266.8641013 -2609452.45274294)"
"POINT(-43.2215426 -22.8148384)";"POINT(-4811400.11353178 -2609641.77972439)"
"POINT(-43.2220301 -22.8154007)";"POINT(-4811454.38178354 -2609709.68773873)"
"POINT(-43.2286936 -22.8214179)";"POINT(-4812196.15921044 -2610436.39229976)"
"POINT(-43.2292853 -22.8218807)";"POINT(-4812262.02695315 -2610492.28654843)"
"POINT(-43.2285345 -22.8212874)";"POINT(-4812178.44827946 -2610420.6313154)"
"POINT(-43.2286936 -22.8214179)";"POINT(-4812196.15921044 -2610436.39229976)"
"POINT(-43.2282459 -22.8210345)";"POINT(-4812146.32147442 -2610390.08765768)"
"POINT(-43.2285345 -22.8212874)";"POINT(-4812178.44827946 -2610420.6313154)"
"POINT(-43.2277727 -22.8206068)";"POINT(-4812093.64509137 -2610338.43289391)"
"POINT(-43.2282459 -22.8210345)";"POINT(-4812146.32147442 -2610390.08765768)"
"POINT(-43.2225885 -22.8159197)";"POINT(-4811516.5425872 -2609772.36673456)"
"POINT(-43.2246299 -22.8177847)";"POINT(-4811743.79019571 -2609997.60247698)"
"POINT(-43.2223809 -22.8157357)";"POINT(-4811493.43266091 -2609750.14525206)"
"POINT(-43.2225885 -22.8159197)";"POINT(-4811516.5425872 -2609772.36673456)"
"POINT(-43.2220301 -22.8154007)";"POINT(-4811454.38178354 -2609709.68773873)"
"POINT(-43.2222399 -22.8156072)";"POINT(-4811477.73661271 -2609734.62646279)"
"POINT(-43.2223809 -22.8157357)";"POINT(-4811493.43266091 -2609750.14525206)"
"POINT(-43.2176207 -22.811461)";"POINT(-4810963.52962084 -2609233.9027712)"
"POINT(-43.2185745 -22.8120406)";"POINT(-4811069.70615116 -2609303.89834598)"
"POINT(-43.2198564 -22.8128197)";"POINT(-4811212.40660641 -2609397.98706972)"
"POINT(-43.2201139 -22.8130096)";"POINT(-4811241.07137529 -2609420.92059839)"
"POINT(-43.2203456 -22.8132707)";"POINT(-4811266.8641013 -2609452.45274294)"
"POINT(-43.2215426 -22.8148384)";"POINT(-4811400.11353178 -2609641.77972439)"
"POINT(-43.2220301 -22.8154007)";"POINT(-4811454.38178354 -2609709.68773873)"
"POINT(-43.227159 -22.8200727)";"POINT(-4812025.32831987 -2610273.92807303)"
"POINT(-43.2277727 -22.8206068)";"POINT(-4812093.64509137 -2610338.43289391)"
"POINT(-43.2246299 -22.8177847)";"POINT(-4811743.79019571 -2609997.60247698)"
"POINT(-43.227159 -22.8200727)";"POINT(-4812025.32831987 -2610273.92807303)"
"POINT(-43.2323803 -22.8247645)";"POINT(-4812606.56077715 -2610840.57914862)"
"POINT(-43.2331956 -22.8256392)";"POINT(-4812697.319558 -2610946.22300142)"
"POINT(-43.2340924 -22.8267384)";"POINT(-4812797.15087734 -2611078.98230737)"
"POINT(-43.2352479 -22.8281285)";"POINT(-4812925.78054895 -2611246.87750264)"
"POINT(-43.2356525 -22.8286303)";"POINT(-4812970.82041493 -2611307.48493699)"
"POINT(-43.2360007 -22.829167)";"POINT(-4813009.58186162 -2611372.30784274)"
"POINT(-43.2366661 -22.8302379)";"POINT(-4813083.65385079 -2611501.65246681)"
"POINT(-43.2319757 -22.8243347)";"POINT(-4812561.52091118 -2610788.66933909)"
"POINT(-43.2323803 -22.8247645)";"POINT(-4812606.56077715 -2610840.57914862)"
"POINT(-43.2286936 -22.8214179)";"POINT(-4812196.15921044 -2610436.39229976)"
"POINT(-43.2292853 -22.8218807)";"POINT(-4812262.02695315 -2610492.28654843)"
"POINT(-43.2292853 -22.8218807)";"POINT(-4812262.02695315 -2610492.28654843)"
"POINT(-43.2299369 -22.8224228)";"POINT(-4812334.56273335 -2610557.75842403)"
"POINT(-43.230008 -22.8224817)";"POINT(-4812342.47754914 -2610564.87205986)"
"POINT(-43.2304899 -22.8229378)";"POINT(-4812396.12241176 -2610619.95755117)"
"POINT(-43.2314512 -22.8238317)";"POINT(-4812503.13383826 -2610727.918886)"
"POINT(-43.2319757 -22.8243347)";"POINT(-4812561.52091118 -2610788.66933909)"
"POINT(-43.2299369 -22.8224228)";"POINT(-4812334.56273335 -2610557.75842403)"
"POINT(-43.230008 -22.8224817)";"POINT(-4812342.47754914 -2610564.87205986)"
"POINT(-43.2366661 -22.8302379)";"POINT(-4813083.65385079 -2611501.65246681)"
"POINT(-43.236937 -22.8306259)";"POINT(-4813113.81030085 -2611548.51583698)"
"POINT(-43.2375588 -22.8315778)";"POINT(-4813183.02876022 -2611663.48867631)"
"POINT(-43.2380375 -22.8322133)";"POINT(-4813236.31740047 -2611740.24638774)"
"POINT(-43.2382505 -22.8324221)";"POINT(-4813260.02845201 -2611765.46599414)"
"POINT(-43.2384856 -22.8326357)";"POINT(-4813286.19966429 -2611791.26540164)"
"POINT(-43.2386527 -22.832763)";"POINT(-4813304.8011512 -2611806.64119138)"
"POINT(-43.2387034 -22.8328013)";"POINT(-4813310.44504938 -2611811.26721735)"
"POINT(-43.2387688 -22.8328491)";"POINT(-4813317.72534409 -2611817.04069283)"
"POINT(-43.2323803 -22.8247645)";"POINT(-4812606.56077715 -2610840.57914862)"
"POINT(-43.2331956 -22.8256392)";"POINT(-4812697.319558 -2610946.22300142)"
"POINT(-43.2340924 -22.8267384)";"POINT(-4812797.15087734 -2611078.98230737)"
"POINT(-43.2352479 -22.8281285)";"POINT(-4812925.78054895 -2611246.87750264)"
