"point_4326";"point_900913"
"POINT(-43.2356525 -22.8286303)";"POINT(-4812970.82041493 -2611307.48493699)"
"POINT(-43.2360007 -22.829167)";"POINT(-4813009.58186162 -2611372.30784274)"
"POINT(-43.2366661 -22.8302379)";"POINT(-4813083.65385079 -2611501.65246681)"
"POINT(-43.2391522 -22.8330924)";"POINT(-4813360.40523686 -2611846.42747292)"
"POINT(-43.2394352 -22.8332781)";"POINT(-4813391.90865275 -2611868.85712217)"
"POINT(-43.2395044 -22.8333253)";"POINT(-4813399.61196151 -2611874.55814721)"
"POINT(-43.2396027 -22.8333884)";"POINT(-4813410.55466746 -2611882.17964777)"
"POINT(-43.2366661 -22.8302379)";"POINT(-4813083.65385079 -2611501.65246681)"
"POINT(-43.236937 -22.8306259)";"POINT(-4813113.81030085 -2611548.51583698)"
"POINT(-43.2375588 -22.8315778)";"POINT(-4813183.02876022 -2611663.48867631)"
"POINT(-43.2380375 -22.8322133)";"POINT(-4813236.31740047 -2611740.24638774)"
"POINT(-43.2382505 -22.8324221)";"POINT(-4813260.02845201 -2611765.46599414)"
"POINT(-43.2384856 -22.8326357)";"POINT(-4813286.19966429 -2611791.26540164)"
"POINT(-43.2386527 -22.832763)";"POINT(-4813304.8011512 -2611806.64119138)"
"POINT(-43.2387034 -22.8328013)";"POINT(-4813310.44504938 -2611811.26721735)"
"POINT(-43.2387688 -22.8328491)";"POINT(-4813317.72534409 -2611817.04069283)"
"POINT(-43.2396027 -22.8333884)";"POINT(-4813410.55466746 -2611882.17964777)"
"POINT(-43.2398779 -22.8335422)";"POINT(-4813441.18979132 -2611900.75631527)"
"POINT(-43.2400593 -22.8336184)";"POINT(-4813461.38314695 -2611909.96010759)"
"POINT(-43.2402186 -22.8336576)";"POINT(-4813479.11634184 -2611914.69486891)"
"POINT(-43.2404205 -22.8336639)";"POINT(-4813501.59174703 -2611915.45581282)"
"POINT(-43.2406257 -22.8336333)";"POINT(-4813524.43450654 -2611911.75979987)"
"POINT(-43.2408983 -22.8335611)";"POINT(-4813554.78019973 -2611903.03914517)"
"POINT(-43.2418529 -22.8332367)";"POINT(-4813661.04578564 -2611863.85664844)"
"POINT(-43.2421113 -22.8331293)";"POINT(-4813689.81074206 -2611850.88441209)"
"POINT(-43.2422688 -22.8330351)";"POINT(-4813707.34356186 -2611839.50653724)"
"POINT(-43.2424366 -22.8328938)";"POINT(-4813726.02297242 -2611822.43973973)"
"POINT(-43.2425644 -22.8327439)";"POINT(-4813740.24960334 -2611804.33421808)"
"POINT(-43.2426871 -22.832557)";"POINT(-4813753.90850486 -2611781.75971636)"
"POINT(-43.238923 -22.8329558)";"POINT(-4813334.89080956 -2611829.92835359)"
"POINT(-43.2391522 -22.8330924)";"POINT(-4813360.40523686 -2611846.42747292)"
"POINT(-43.2426871 -22.832557)";"POINT(-4813753.90850486 -2611781.75971636)"
"POINT(-43.2428977 -22.8322231)";"POINT(-4813777.35238962 -2611741.43006572)"
"POINT(-43.2387688 -22.8328491)";"POINT(-4813317.72534409 -2611817.04069283)"
"POINT(-43.238923 -22.8329558)";"POINT(-4813334.89080956 -2611829.92835359)"
"POINT(-43.2426172 -22.8386776)";"POINT(-4813746.12727245 -2612521.04547306)"
"POINT(-43.2425753 -22.8388622)";"POINT(-4813741.46298579 -2612543.34317474)"
"POINT(-43.2424722 -22.839086)";"POINT(-4813729.98594629 -2612570.3758569)"
"POINT(-43.2423305 -22.8392793)";"POINT(-4813714.21197444 -2612593.72449619)"
"POINT(-43.2421112 -22.8395635)";"POINT(-4813689.79961011 -2612628.05297488)"
"POINT(-43.2419065 -22.8397722)";"POINT(-4813667.01251035 -2612653.26186469)"
"POINT(-43.2416728 -22.8399609)";"POINT(-4813640.99714535 -2612676.05498617)"
"POINT(-43.2412415 -22.8402274)";"POINT(-4813592.98504897 -2612708.2456435)"
"POINT(-43.2407944 -22.8404601)";"POINT(-4813543.21410464 -2612736.3536349)"
"POINT(-43.2424383 -22.8375666)";"POINT(-4813726.21221555 -2612386.84921838)"
"POINT(-43.2425828 -22.8381743)";"POINT(-4813742.29788197 -2612460.25238051)"
"POINT(-43.2426291 -22.8384068)";"POINT(-4813747.45197439 -2612488.33578991)"
"POINT(-43.2426312 -22.8385196)";"POINT(-4813747.68574532 -2612501.96079034)"
"POINT(-43.2426172 -22.8386776)";"POINT(-4813746.12727245 -2612521.04547306)"
"POINT(-43.2424249 -22.8373837)";"POINT(-4813724.72053437 -2612364.75706873)"
"POINT(-43.2424383 -22.8375666)";"POINT(-4813726.21221555 -2612386.84921838)"
"POINT(-43.2428977 -22.8322231)";"POINT(-4813777.35238962 -2611741.43006572)"
"POINT(-43.2430721 -22.8319784)";"POINT(-4813796.76650881 -2611711.8743768)"
"POINT(-43.2431555 -22.8318858)";"POINT(-4813806.05055435 -2611700.68985125)"
"POINT(-43.243245 -22.831812)";"POINT(-4813816.01364877 -2611691.77605555)"
"POINT(-43.2433583 -22.8317571)";"POINT(-4813828.62614708 -2611685.14506434)"
"POINT(-43.2434485 -22.8317338)";"POINT(-4813838.66716515 -2611682.33081933)"
"POINT(-43.2435436 -22.8317237)";"POINT(-4813849.25364873 -2611681.11091069)"
"POINT(-43.2436592 -22.8317298)";"POINT(-4813862.12218186 -2611681.84768718)"
"POINT(-43.2436592 -22.8317298)";"POINT(-4813862.12218186 -2611681.84768718)"
"POINT(-43.2437431 -22.8317615)";"POINT(-4813871.46188714 -2611685.6765098)"
"POINT(-43.2438514 -22.8318277)";"POINT(-4813883.51778799 -2611693.67235044)"
"POINT(-43.2439273 -22.8318882)";"POINT(-4813891.96693734 -2611700.97973086)"
"POINT(-43.2439945 -22.8319682)";"POINT(-4813899.44760712 -2611710.64238765)"
"POINT(-43.2440351 -22.8320342)";"POINT(-4813903.96717845 -2611718.61408378)"
"POINT(-43.2440631 -22.8321027)";"POINT(-4813907.08412419 -2611726.88774218)"
"POINT(-43.2440826 -22.8322075)";"POINT(-4813909.25485426 -2611739.54584367)"
"POINT(-43.2422143 -22.8333761)";"POINT(-4813701.27664961 -2611880.69399841)"
"POINT(-43.2421622 -22.8334691)";"POINT(-4813695.47690414 -2611891.92696028)"
"POINT(-43.2421248 -22.8335802)";"POINT(-4813691.31355519 -2611905.34613232)"
"POINT(-43.2420955 -22.8336942)";"POINT(-4813688.05189411 -2611919.11559116)"
"POINT(-43.2420987 -22.8338548)";"POINT(-4813688.40811648 -2611938.51363784)"
"POINT(-43.2424249 -22.8373837)";"POINT(-4813724.72053437 -2612364.75706873)"
"POINT(-43.2440826 -22.8322075)";"POINT(-4813909.25485426 -2611739.54584367)"
"POINT(-43.2440772 -22.8322838)";"POINT(-4813908.65372901 -2611748.76162408)"
"POINT(-43.2440516 -22.8323945)";"POINT(-4813905.80395005 -2611762.13236578)"
"POINT(-43.2439962 -22.8325029)";"POINT(-4813899.63685026 -2611775.22531581)"
"POINT(-43.2438634 -22.8326355)";"POINT(-4813884.85362188 -2611791.24124487)"
"POINT(-43.2437322 -22.8327148)";"POINT(-4813870.24850469 -2611800.81940599)"
"POINT(-43.2425663 -22.8331269)";"POINT(-4813740.46111037 -2611850.59452983)"
"POINT(-43.2423822 -22.8332298)";"POINT(-4813719.96719212 -2611863.0232363)"
"POINT(-43.2422786 -22.833312)";"POINT(-4813708.43449287 -2611872.95171411)"
"POINT(-43.2422143 -22.8333761)";"POINT(-4813701.27664961 -2611880.69399841)"
"POINT(-43.2407944 -22.8404601)";"POINT(-4813543.21410464 -2612736.3536349)"
"POINT(-43.240405 -22.8407881)";"POINT(-4813499.86629492 -2612775.97305981)"
"POINT(-43.2401239 -22.841033)";"POINT(-4813468.57438606 -2612805.55482076)"
"POINT(-43.2398956 -22.8413187)";"POINT(-4813443.16014631 -2612840.06492932)"
"POINT(-43.2397253 -22.8416437)";"POINT(-4813424.20243703 -2612879.3222288)"
"POINT(-43.2396026 -22.8419844)";"POINT(-4813410.54353551 -2612920.47605853)"
"POINT(-43.2395566 -22.8422968)";"POINT(-4813405.42283893 -2612958.21156563)"
"POINT(-43.2395447 -22.8427254)";"POINT(-4813404.09813699 -2613009.98327626)"
"POINT(-43.239586 -22.8433835)";"POINT(-4813408.69563196 -2613089.47720735)"
"POINT(-43.239586 -22.8433835)";"POINT(-4813408.69563196 -2613089.47720735)"
"POINT(-43.2396701 -22.8437098)";"POINT(-4813418.05760114 -2613128.89213454)"
"POINT(-43.2397271 -22.8440734)";"POINT(-4813424.40281211 -2613172.8127716)"
"POINT(-43.2398325 -22.8444602)";"POINT(-4813436.13588644 -2613219.53595444)"
"POINT(-43.2407944 -22.8404601)";"POINT(-4813543.21410464 -2612736.3536349)"
"POINT(-43.240405 -22.8407881)";"POINT(-4813499.86629492 -2612775.97305981)"
"POINT(-43.2401239 -22.841033)";"POINT(-4813468.57438606 -2612805.55482076)"
"POINT(-43.2398956 -22.8413187)";"POINT(-4813443.16014631 -2612840.06492932)"
"POINT(-43.2397253 -22.8416437)";"POINT(-4813424.20243703 -2612879.3222288)"
"POINT(-43.2396026 -22.8419844)";"POINT(-4813410.54353551 -2612920.47605853)"
"POINT(-43.2395566 -22.8422968)";"POINT(-4813405.42283893 -2612958.21156563)"
"POINT(-43.2395447 -22.8427254)";"POINT(-4813404.09813699 -2613009.98327626)"
"POINT(-43.239586 -22.8433835)";"POINT(-4813408.69563196 -2613089.47720735)"
"POINT(-43.2398325 -22.8444602)";"POINT(-4813436.13588644 -2613219.53595444)"
"POINT(-43.2400689 -22.845156)";"POINT(-4813462.45181406 -2613303.58486863)"
"POINT(-43.2406119 -22.8461808)";"POINT(-4813522.89829756 -2613427.37600419)"
"POINT(-43.2407706 -22.8462904)";"POINT(-4813540.56470075 -2613440.61523628)"
"POINT(-43.2409601 -22.846383)";"POINT(-4813561.65974426 -2613451.80094615)"
"POINT(-43.241144 -22.8464287)";"POINT(-4813582.13139862 -2613457.3213263)"
"POINT(-43.2421612 -22.8465176)";"POINT(-4813695.36558465 -2613468.06010174)"
"POINT(-43.243023 -22.846669)";"POINT(-4813791.30072182 -2613486.3486511)"
"POINT(-43.2400689 -22.845156)";"POINT(-4813462.45181406 -2613303.58486863)"
"POINT(-43.2404548 -22.8460392)";"POINT(-4813505.41000556 -2613410.27131867)"
"POINT(-43.2406119 -22.8461808)";"POINT(-4813522.89829756 -2613427.37600419)"
"POINT(-43.2454606 -22.8470265)";"POINT(-4814062.65311258 -2613529.53338446)"
"POINT(-43.2457829 -22.8470502)";"POINT(-4814098.53138446 -2613532.39626451)"
"POINT(-43.246121 -22.8471869)";"POINT(-4814136.1685043 -2613548.90917305)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2452392 -22.8470029)";"POINT(-4814038.00697731 -2613526.68258458)"
"POINT(-43.2454606 -22.8470265)";"POINT(-4814062.65311258 -2613529.53338446)"
"POINT(-43.2406119 -22.8461808)";"POINT(-4813522.89829756 -2613427.37600419)"
"POINT(-43.2407706 -22.8462904)";"POINT(-4813540.56470075 -2613440.61523628)"
"POINT(-43.2409601 -22.846383)";"POINT(-4813561.65974426 -2613451.80094615)"
"POINT(-43.241144 -22.8464287)";"POINT(-4813582.13139862 -2613457.3213263)"
"POINT(-43.2421612 -22.8465176)";"POINT(-4813695.36558465 -2613468.06010174)"
"POINT(-43.243023 -22.846669)";"POINT(-4813791.30072182 -2613486.3486511)"
"POINT(-43.2446204 -22.8469209)";"POINT(-4813969.12247641 -2613516.7772668)"
"POINT(-43.2452392 -22.8470029)";"POINT(-4814038.00697731 -2613526.68258458)"
"POINT(-43.243023 -22.846669)";"POINT(-4813791.30072182 -2613486.3486511)"
"POINT(-43.2435776 -22.8467728)";"POINT(-4813853.03851141 -2613498.88731164)"
"POINT(-43.2446204 -22.8469209)";"POINT(-4813969.12247641 -2613516.7772668)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2454606 -22.8470265)";"POINT(-4814062.65311258 -2613529.53338446)"
"POINT(-43.2457829 -22.8470502)";"POINT(-4814098.53138446 -2613532.39626451)"
"POINT(-43.246121 -22.8471869)";"POINT(-4814136.1685043 -2613548.90917305)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2477621 -22.8518093)";"POINT(-4814318.85492064 -2614107.28959894)"
"POINT(-43.2464769 -22.8473691)";"POINT(-4814175.78711107 -2613570.91835715)"
"POINT(-43.2467774 -22.8475713)";"POINT(-4814209.23861805 -2613595.34351254)"
"POINT(-43.2469593 -22.8477681)";"POINT(-4814229.48763343 -2613619.11639896)"
"POINT(-43.2471511 -22.8480523)";"POINT(-4814250.83871176 -2613653.44702025)"
"POINT(-43.2473251 -22.8483767)";"POINT(-4814270.20830316 -2613692.63378474)"
"POINT(-43.2473983 -22.8485771)";"POINT(-4814278.35688988 -2613716.84168473)"
"POINT(-43.2474178 -22.8488324)";"POINT(-4814280.52761996 -2613747.68144134)"
"POINT(-43.2475426 -22.8497359)";"POINT(-4814294.42029241 -2613856.82299568)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2477298 -22.8515424)";"POINT(-4814315.25930108 -2614075.04787977)"
"POINT(-43.2477621 -22.8518093)";"POINT(-4814318.85492064 -2614107.28959894)"
"POINT(-43.2478629 -22.8525691)";"POINT(-4814330.07592531 -2614199.07435248)"
"POINT(-43.2478841 -22.853516)";"POINT(-4814332.43589851 -2614313.46172897)"
"POINT(-43.2477621 -22.8518093)";"POINT(-4814318.85492064 -2614107.28959894)"
"POINT(-43.2478629 -22.8525691)";"POINT(-4814330.07592531 -2614199.07435248)"
"POINT(-43.2479038 -22.8550701)";"POINT(-4814334.62889248 -2614501.20178288)"
"POINT(-43.2479323 -22.8562303)";"POINT(-4814337.80149797 -2614641.35890608)"
"POINT(-43.2477125 -22.8511155)";"POINT(-4814313.33347389 -2614023.47817279)"
"POINT(-43.247851 -22.8518038)";"POINT(-4814328.75122336 -2614106.62519419)"
"POINT(-43.2478629 -22.8525691)";"POINT(-4814330.07592531 -2614199.07435248)"
"POINT(-43.2478841 -22.853516)";"POINT(-4814332.43589851 -2614313.46172897)"
"POINT(-43.2479019 -22.8549914)";"POINT(-4814334.41738545 -2614491.69452953)"
"POINT(-43.2479038 -22.8550701)";"POINT(-4814334.62889248 -2614501.20178288)"
"POINT(-43.2478629 -22.8525691)";"POINT(-4814330.07592531 -2614199.07435248)"
"POINT(-43.2478841 -22.853516)";"POINT(-4814332.43589851 -2614313.46172897)"
"POINT(-43.2479397 -22.8565337)";"POINT(-4814338.6252622 -2614678.01112131)"
"POINT(-43.2479706 -22.8577913)";"POINT(-4814342.06503447 -2614829.93627147)"
"POINT(-43.2480025 -22.8586386)";"POINT(-4814345.61612622 -2614932.29566754)"
"POINT(-43.2479323 -22.8562303)";"POINT(-4814337.80149797 -2614641.35890608)"
"POINT(-43.2479397 -22.8565337)";"POINT(-4814338.6252622 -2614678.01112131)"
"POINT(-43.2480568 -22.8606935)";"POINT(-4814351.66077457 -2615180.54371283)"
"POINT(-43.248048 -22.8612539)";"POINT(-4814350.68116305 -2615248.24508184)"
"POINT(-43.2479397 -22.8565337)";"POINT(-4814338.6252622 -2614678.01112131)"
"POINT(-43.2479706 -22.8577913)";"POINT(-4814342.06503447 -2614829.93627147)"
"POINT(-43.2480025 -22.8586386)";"POINT(-4814345.61612622 -2614932.29566754)"
"POINT(-43.2480639 -22.8605775)";"POINT(-4814352.45114296 -2615166.52990258)"
"POINT(-43.2480568 -22.8606935)";"POINT(-4814351.66077457 -2615180.54371283)"
"POINT(-43.2480025 -22.8586386)";"POINT(-4814345.61612622 -2614932.29566754)"
"POINT(-43.2480639 -22.8605775)";"POINT(-4814352.45114296 -2615166.52990258)"
"POINT(-43.2481423 -22.8638336)";"POINT(-4814361.17859104 -2615559.89968485)"
"POINT(-43.2481232 -22.8643963)";"POINT(-4814359.05238876 -2615627.88048607)"
"POINT(-43.2481339 -22.8634303)";"POINT(-4814360.24350731 -2615511.17645814)"
"POINT(-43.2481423 -22.8638336)";"POINT(-4814361.17859104 -2615559.89968485)"
"POINT(-43.2480568 -22.8606935)";"POINT(-4814351.66077457 -2615180.54371283)"
"POINT(-43.248048 -22.8612539)";"POINT(-4814350.68116305 -2615248.24508184)"
"POINT(-43.2480797 -22.8623442)";"POINT(-4814354.20999091 -2615379.96394507)"
"POINT(-43.2481339 -22.8634303)";"POINT(-4814360.24350731 -2615511.17645814)"
"POINT(-43.248048 -22.8612539)";"POINT(-4814350.68116305 -2615248.24508184)"
"POINT(-43.2480797 -22.8623442)";"POINT(-4814354.20999091 -2615379.96394507)"
"POINT(-43.2472728 -22.8695411)";"POINT(-4814264.38629379 -2616249.44610273)"
"POINT(-43.2472496 -22.8695831)";"POINT(-4814261.8036816 -2616254.52040188)"
"POINT(-43.2467189 -22.8707182)";"POINT(-4814202.72642784 -2616391.65997142)"
"POINT(-43.2476663 -22.8678924)";"POINT(-4814308.19051342 -2616050.25693735)"
"POINT(-43.2476015 -22.8681438)";"POINT(-4814300.97701041 -2616080.62989703)"
"POINT(-43.2472728 -22.8695411)";"POINT(-4814264.38629379 -2616249.44610273)"
"POINT(-43.2481232 -22.8643963)";"POINT(-4814359.05238876 -2615627.88048607)"
"POINT(-43.2480845 -22.8650223)";"POINT(-4814354.74432447 -2615703.50900521)"
"POINT(-43.2480845 -22.8650223)";"POINT(-4814354.74432447 -2615703.50900521)"
"POINT(-43.247907 -22.8661191)";"POINT(-4814334.98511485 -2615836.01680981)"
"POINT(-43.2478516 -22.8664792)";"POINT(-4814328.81801506 -2615879.52183923)"
"POINT(-43.2476663 -22.8678924)";"POINT(-4814308.19051342 -2616050.25693735)"
"POINT(-43.247907 -22.8661191)";"POINT(-4814334.98511485 -2615836.01680981)"
"POINT(-43.2478516 -22.8664792)";"POINT(-4814328.81801506 -2615879.52183923)"
"POINT(-43.2455089 -22.8724338)";"POINT(-4814068.02984398 -2616598.93608313)"
"POINT(-43.2433028 -22.8753064)";"POINT(-4813822.44791534 -2616946.00498957)"
"POINT(-43.2458482 -22.8719602)";"POINT(-4814105.80054721 -2616541.71620943)"
"POINT(-43.2455089 -22.8724338)";"POINT(-4814068.02984398 -2616598.93608313)"
"POINT(-43.2472728 -22.8695411)";"POINT(-4814264.38629379 -2616249.44610273)"
"POINT(-43.2472496 -22.8695831)";"POINT(-4814261.8036816 -2616254.52040188)"
"POINT(-43.2467189 -22.8707182)";"POINT(-4814202.72642784 -2616391.65997142)"
"POINT(-43.2463899 -22.8712412)";"POINT(-4814166.10231537 -2616454.84773693)"
"POINT(-43.2458482 -22.8719602)";"POINT(-4814105.80054721 -2616541.71620943)"
"POINT(-43.2467189 -22.8707182)";"POINT(-4814202.72642784 -2616391.65997142)"
"POINT(-43.2466574 -22.8708406)";"POINT(-4814195.88027915 -2616406.44806146)"
"POINT(-43.2463899 -22.8712412)";"POINT(-4814166.10231537 -2616454.84773693)"
"POINT(-43.2429185 -22.8758337)";"POINT(-4813779.66783503 -2617009.71442533)"
"POINT(-43.2421427 -22.8768191)";"POINT(-4813693.30617407 -2617128.77307822)"
"POINT(-43.2410744 -22.8783211)";"POINT(-4813574.38356206 -2617310.25038136)"
"POINT(-43.2431443 -22.8755131)";"POINT(-4813804.80377605 -2616970.97886559)"
"POINT(-43.2429185 -22.8758337)";"POINT(-4813779.66783503 -2617009.71442533)"
"POINT(-43.2455089 -22.8724338)";"POINT(-4814068.02984398 -2616598.93608313)"
"POINT(-43.2433028 -22.8753064)";"POINT(-4813822.44791534 -2616946.00498957)"
"POINT(-43.24317 -22.8754796)";"POINT(-4813807.66468696 -2616966.9313311)"
"POINT(-43.2431443 -22.8755131)";"POINT(-4813804.80377605 -2616970.97886559)"
"POINT(-43.2433028 -22.8753064)";"POINT(-4813822.44791534 -2616946.00498957)"
"POINT(-43.24317 -22.8754796)";"POINT(-4813807.66468696 -2616966.9313311)"
"POINT(-43.2395021 -22.8805299)";"POINT(-4813399.35592668 -2617577.12957223)"
"POINT(-43.2390167 -22.881165)";"POINT(-4813345.32144585 -2617653.86660106)"
"POINT(-43.2387073 -22.8815475)";"POINT(-4813310.8791954 -2617700.082982)"
"POINT(-43.2360575 -22.8844678)";"POINT(-4813015.9048087 -2618052.93877039)"
"POINT(-43.2401464 -22.8796258)";"POINT(-4813471.0790746 -2617467.89078385)"
"POINT(-43.2395021 -22.8805299)";"POINT(-4813399.35592668 -2617577.12957223)"
"POINT(-43.2429185 -22.8758337)";"POINT(-4813779.66783503 -2617009.71442533)"
"POINT(-43.2421427 -22.8768191)";"POINT(-4813693.30617407 -2617128.77307822)"
"POINT(-43.2410744 -22.8783211)";"POINT(-4813574.38356206 -2617310.25038136)"
"POINT(-43.2404809 -22.8791555)";"POINT(-4813508.31544427 -2617411.06660274)"
"POINT(-43.2401464 -22.8796258)";"POINT(-4813471.0790746 -2617467.89078385)"
"POINT(-43.2410744 -22.8783211)";"POINT(-4813574.38356206 -2617310.25038136)"
"POINT(-43.24086 -22.8786225)";"POINT(-4813550.51666323 -2617346.66690759)"
"POINT(-43.2404809 -22.8791555)";"POINT(-4813508.31544427 -2617411.06660274)"
